,person_id,redirect_id,first_name,family_name,party,constituency
90,uk.org.publicwhip/person/10091,,Dennis,Canavan,,
91,uk.org.publicwhip/person/10092,,Jamie,Cann,,
92,uk.org.publicwhip/person/10093,,Ivor,Caplin,,
93,uk.org.publicwhip/person/10094,,Roger,Casale,,
94,uk.org.publicwhip/person/10095,,Bill,Cash,Conservative,Stone
95,uk.org.publicwhip/person/10096,,Martin,Caton,Labour,Gower
96,uk.org.publicwhip/person/10097,,Ian,Cawsey,,
97,uk.org.publicwhip/person/10098,,Ben,Chapman,,
98,uk.org.publicwhip/person/10099,,Sydney,Chapman,,
99,uk.org.publicwhip/person/10100,,David,Chaytor,,
100,uk.org.publicwhip/person/10101,,David,Chidgey,,
101,uk.org.publicwhip/person/10102,,Malcolm,Chisholm,,
102,uk.org.publicwhip/person/10103,,Christopher,Chope,Conservative,Christchurch
103,uk.org.publicwhip/person/10104,,Judith,Church,,
104,uk.org.publicwhip/person/10105,,Michael,Clapham,,
105,uk.org.publicwhip/person/10106,,James,Clappison,Conservative,Hertsmere
106,uk.org.publicwhip/person/10107,,Alan,Clark,,
107,uk.org.publicwhip/person/10108,,David,Clark,,
108,uk.org.publicwhip/person/10109,,Helen,Clark,,
109,uk.org.publicwhip/person/10110,,Lynda,Clark,,
110,uk.org.publicwhip/person/10111,,Michael,Clark,,
111,uk.org.publicwhip/person/10112,,Paul,Clark,,
112,uk.org.publicwhip/person/10113,,Charles,Clarke,,
113,uk.org.publicwhip/person/10114,,Eric,Clarke,,
114,uk.org.publicwhip/person/10115,,Kenneth,Clarke,Conservative,Rushcliffe
115,uk.org.publicwhip/person/10116,,Tom,Clarke,Labour,"Coatbridge, Chryston and Bellshill"
116,uk.org.publicwhip/person/10117,,Tony,Clarke,,
117,uk.org.publicwhip/person/10118,,David,Clelland,,
118,uk.org.publicwhip/person/10119,,Geoffrey,Clifton-Brown,Conservative,The Cotswolds
119,uk.org.publicwhip/person/10120,,Ann,Clwyd,Labour,Cynon Valley
120,uk.org.publicwhip/person/10121,,Vernon,Coaker,Labour,Gedling
121,uk.org.publicwhip/person/10122,,Ann,Coffey,Labour,Stockport
122,uk.org.publicwhip/person/10123,,Harry,Cohen,,
123,uk.org.publicwhip/person/10124,,Iain,Coleman,,
124,uk.org.publicwhip/person/10125,,Tim,Collins,,
125,uk.org.publicwhip/person/10126,,Tony,Colman,,
126,uk.org.publicwhip/person/10127,,Michael,Colvin,,
127,uk.org.publicwhip/person/10128,,Michael,Connarty,Labour,Linlithgow and East Falkirk
128,uk.org.publicwhip/person/10129,,Frank,Cook,,
129,uk.org.publicwhip/person/10130,,Robin,Cook,,
130,uk.org.publicwhip/person/10131,,Yvette,Cooper,Labour,"Normanton, Pontefract and Castleford"
131,uk.org.publicwhip/person/10132,,Robin,Corbett,,
132,uk.org.publicwhip/person/10133,,Jeremy,Corbyn,Labour,Islington North
133,uk.org.publicwhip/person/10134,,Patrick Thomas,Cormack,,
134,uk.org.publicwhip/person/10135,,Jean,Corston,,
135,uk.org.publicwhip/person/10136,,Brian,Cotter,,
136,uk.org.publicwhip/person/10137,,Jim,Cousins,,
