type,year,party,vague_score,decade,subj_score,emot_score
manifesto,1945-01-01,LAB,0.17440312276437972,1940,0.09738398642800054,0.17278153416942799
manifesto,1945-01-01,CON,0.17873139561093485,1940,0.1038125730161143,0.17570402302925683
manifesto,1945-01-01,LIB,0.17640963678209473,1940,0.07610994786321275,0.17955810967445057
manifesto,1950-01-01,LAB,0.17443069503638683,1950,0.07856476884118312,0.17171190916915424
manifesto,1950-01-01,CON,0.1763840681305525,1950,0.11077097049911461,0.18069039001353146
manifesto,1950-01-01,LIB,0.1779763033859439,1950,0.12762009426318213,0.1638842606180705
manifesto,1951-01-01,LAB,0.18145873023424913,1950,0.11574984252511458,0.16479179537707161
manifesto,1951-01-01,CON,0.17919001133884654,1950,0.10358608575088482,0.16635257541719922
manifesto,1951-01-01,LIB,0.17760101182682303,1950,0.08851582829179247,0.1723286832951796
manifesto,1955-01-01,LAB,0.17664728826567277,1950,0.09391518877605937,0.1682751461109675
manifesto,1955-01-01,CON,0.17852179186795789,1950,0.11098530197875926,0.17299367446863242
manifesto,1955-01-01,LIB,0.1758322791351512,1950,0.12785282134238146,0.1777883039351722
manifesto,1959-01-01,LAB,0.17629395895232206,1950,0.0779183111622243,0.17886628151519715
manifesto,1959-01-01,CON,0.17902031254127135,1950,0.11267328748372564,0.1753049239404304
manifesto,1959-01-01,LIB,0.17711177358252142,1950,0.12946020685571782,0.17285252945659135
manifesto,1964-01-01,LAB,0.1749103409297806,1960,0.09844647648237603,0.17014855564829728
manifesto,1964-01-01,CON,0.17869033976196705,1960,0.09746599505102073,0.1709808865659141
manifesto,1964-01-01,LIB,0.1774367866635222,1960,0.09561944334428978,0.16462011794677692
manifesto,1966-01-01,LAB,0.17770132362799934,1960,0.09867394761165335,0.16400339105980552
manifesto,1966-01-01,CON,0.17694764141710803,1960,0.0770482349611296,0.17116224974577457
manifesto,1966-01-01,LIB,0.17803190892617793,1960,0.09773363484437735,0.16098098294129679
manifesto,1970-06-18,LAB,0.18343445836862096,1970,0.09013657000237921,0.16307724529690762
manifesto,1970-06-18,CON,0.1761228667559142,1970,0.10269424217268973,0.17350132222993545
manifesto,1970-06-18,LIB,0.17847548624177204,1970,0.08860165037163294,0.169657461654437
manifesto,1974-02-28,LAB,0.17700934673893456,1970,0.08305270475084026,0.1603348056797805
manifesto,1974-02-28,CON,0.1769118904761864,1970,0.09867779100766452,0.17969928702915408
manifesto,1974-02-28,LIB,0.17855572999306815,1970,0.13193606721015894,0.17140032718338735
manifesto,1974-10-10,LAB,0.17772196833247297,1970,0.09196105517399134,0.17086605110294117
manifesto,1974-10-10,CON,0.17867167217917368,1970,0.10912999725860681,0.16585256256062397
manifesto,1974-10-10,LIB,0.17869155732342967,1970,0.12327293128322629,0.16632383982372415
manifesto,1979-03-05,LAB,0.17985074357446804,1970,0.08935964766641459,0.1661792840166109
manifesto,1979-03-05,CON,0.17623740431117085,1970,0.12112692426189799,0.17712890803456086
manifesto,1979-03-05,LIB,0.17857698045320552,1970,0.11720627082990805,0.16449820009462332
manifesto,1983-09-06,LAB,0.17710974327810547,1980,0.10918631257108243,0.1669582777915815
manifesto,1983-09-06,CON,0.17977141464033766,1980,0.0819567254493182,0.17194563081188627
manifesto,1983-09-06,LIB,0.17893505114085714,1980,0.09806769878095323,0.16613433885841827
manifesto,1987-11-06,LAB,0.17949573458721357,1980,0.12215259887070705,0.1641959888334896
manifesto,1987-11-06,CON,0.17847359490438242,1980,0.08486716014463776,0.16406205902216625
manifesto,1987-11-06,LIB,0.1781766552697422,1980,0.1271948066145067,0.16309929376621532
manifesto,1992-09-04,LAB,0.18050460919622452,1990,0.08759786226002336,0.16767868122387886
manifesto,1992-09-04,CON,0.17947912559281887,1990,0.1099520746160234,0.17099748152665525
manifesto,1992-09-04,LIB,0.1807817419528235,1990,0.10541934084063155,0.17077232215134816
manifesto,1992-09-04,SNP,0.18177487434958328,1990,0.09176433501222941,0.16944366066391978
manifesto,1997-01-05,LAB,0.17956534288286363,1990,0.09623723725913975,0.1715266595869924
manifesto,1997-01-05,CON,0.17993619986381656,1990,0.0969579208005066,0.1680974963214602
manifesto,1997-01-05,LIB,0.18010262527574966,1990,0.10004147531188393,0.17110444454292537
manifesto,1997-01-05,SNP,0.17942677349239525,1990,0.12455110602202946,0.1676559863452688
manifesto,2001-07-06,LAB,0.18054537765618456,2000,0.10624612474169444,0.1698755960284029
manifesto,2001-07-06,CON,0.18103382846500793,2000,0.0931632621338388,0.16971287993293857
manifesto,2001-07-06,LIB,0.18038328430818545,2000,0.08052914640303659,0.16539407197248152
manifesto,2001-07-06,SNP,0.17639239338649754,2000,0.0971352470022906,0.1671345277202282
manifesto,2005-05-05,LAB,0.18068095065971243,2000,0.08447204603674555,0.16801219236161966
manifesto,2005-05-05,CON,0.17918808226004843,2000,0.10660893744680004,0.17625340251640217
manifesto,2005-05-05,LIB,0.179011060767688,2000,0.09454356192124623,0.16834831856994112
manifesto,2005-05-05,SNP,0.1780384993045586,2000,0.10361632904418122,0.1618654845558905
manifesto,2005-05-05,UKIP,0.17772032346392017,2000,0.0871445003577294,0.17052804825780382
manifesto,2010-06-05,LAB,0.17955369585711725,2010,0.07915802179009458,0.16772402206898177
manifesto,2010-06-05,CON,0.1808869927994035,2010,0.12593945035154586,0.1634278341886448
manifesto,2010-06-05,LIB,0.17704328307440834,2010,0.09452944928414607,0.169786042206642
manifesto,2010-06-05,SNP,0.17961502715501163,2010,0.11360984935651672,0.17439628904707302
