type,year,party,vague_inverse_deictic_word_freq,vague_approximator_word_freq,vague_inverse_shield_word_freq,vague_booster_word_freq,vague_avg_semantic_size,subj_subjective_sentence_freq,subj_avg_subjective_sentence_score,subj_speculative_sentence_freq,subj_modal_verb_freq,subj_subjective_adjective_freq,emot_avg_arousal_glasgow,emot_avg_arousal_warriner,emot_avg_valence_glasgow,emot_avg_valence_warriner,emot_avg_valence_rheault,emot_avg_anger_sentence_score,emot_avg_fear_sentence_score,emot_avg_joy_sentence_score,emot_avg_sadness_sentence_score
manifesto,1945-01-01,LAB,0.8447893569844789,0.0033259423503325942,0.9944567627494457,0.017738359201773836,0.49315612648221346,0.08695652173913043,0.39430696,0.1956521739130435,0.018847006651884702,0.045454545454545456,0.4914924901185771,0.425981981981982,0.30828695652173915,0.24833633633633637,0.48852895303986016,0.45319772,0.5078169,0.49116322,0.44812563
manifesto,1945-01-01,CON,0.8914285714285715,0.002857142857142857,1.0,0.017142857142857144,0.4972352272727273,0.0,0.4179123,0.23076923076923078,0.017142857142857144,0.04857142857142857,0.4906170454545455,0.420218487394958,0.28230909090909095,0.23947899159663863,0.5152943993734375,0.48647806,0.50434464,0.4900026,0.47788346
manifesto,1945-01-01,LIB,0.8611111111111112,0.0,1.0,0.009259259259259259,0.4992333333333334,0.0,0.40496287,0.0,0.009259259259259259,0.06481481481481481,0.5031458333333333,0.44172727272727275,0.31362500000000004,0.24363636363636362,0.5278114337117648,0.42873597,0.53164285,0.5162675,0.49877036
manifesto,1950-01-01,LAB,0.8333333333333334,0.0,1.0,0.011494252873563218,0.5042134615384615,0.125,0.40417445,0.0,0.005747126436781609,0.06321839080459771,0.5129403846153846,0.4301066666666667,0.27691923076923075,0.2404,0.4656209379214286,0.44428182,0.4975666,0.50727284,0.44767615
manifesto,1950-01-01,CON,0.8918918918918919,0.0,0.972972972972973,0.04054054054054054,0.49607999999999997,0.0,0.39435706,0.3333333333333333,0.02702702702702703,0.04054054054054054,0.5086200000000001,0.40283333333333327,0.23434,0.2031333333333333,0.5253099180599999,0.4999105,0.5614372,0.52850074,0.49882683
manifesto,1950-01-01,LIB,0.8928571428571429,0.0,0.9910714285714286,0.017857142857142856,0.495244,0.14285714285714285,0.41348186,0.42857142857142855,0.026785714285714284,0.026785714285714284,0.516556,0.4073421052631579,0.298,0.26173684210526316,0.4378972859923077,0.44098613,0.45666745,0.44936314,0.41247302
manifesto,1951-01-01,LAB,0.9298245614035088,0.0,1.0,0.017543859649122806,0.49002500000000004,0.0,0.42060587,0.3333333333333333,0.017543859649122806,0.05263157894736842,0.48169499999999993,0.41014814814814815,0.29964,0.2402962962962963,0.5156741109,0.43241712,0.43482897,0.4644338,0.41141447
manifesto,1951-01-01,CON,0.9127313940309785,0.001511144692104269,0.9920664903664526,0.020022667170381564,0.48445493910690124,0.058823529411764705,0.40650347,0.23529411764705882,0.029845107669059314,0.04760105780128447,0.47829418132611645,0.40815486307837584,0.2564763193504736,0.22611520302171859,0.47732529512067046,0.45163882,0.49041116,0.4764086,0.42826483
manifesto,1951-01-01,LIB,0.8844221105527639,0.0,0.9949748743718593,0.03015075376884422,0.4933640625,0.09090909090909091,0.40660217,0.09090909090909091,0.035175879396984924,0.05527638190954774,0.483684375,0.4224,0.28404999999999997,0.24689999999999998,0.49082321105135124,0.47966835,0.50959253,0.46823037,0.45652893
manifesto,1955-01-01,LAB,0.8712121212121212,0.0,1.0,0.0,0.4860947368421053,0.0,0.3856359,0.2,0.015151515151515152,0.022727272727272728,0.48943421052631575,0.42094545454545457,0.30983684210526313,0.2627636363636363,0.5285170972800001,0.42945707,0.45990217,0.44511193,0.434806
manifesto,1955-01-01,CON,0.9057639524245197,0.0054894784995425435,0.9908508691674291,0.03110704483074108,0.4836121212121211,0.03571428571428571,0.39834672,0.32142857142857145,0.042086001829826164,0.03385178408051235,0.4859636363636364,0.40872197309417047,0.28361144781144776,0.23309865470852018,0.4756698728617392,0.48490852,0.51712304,0.49317074,0.46299568
manifesto,1955-01-01,LIB,0.8865030674846626,0.0,0.9846625766871165,0.006134969325153374,0.46954772727272726,0.0,0.41196528,0.45454545454545453,0.02147239263803681,0.06441717791411043,0.4842909090909091,0.4225909090909091,0.29021363636363634,0.24840909090909097,0.48845198208593754,0.44751853,0.57915276,0.50667214,0.48850775
manifesto,1959-01-01,LAB,0.8803827751196173,0.0,0.9952153110047847,0.009569377990430622,0.4697557692307693,0.1111111111111111,0.40193093,0.0,0.004784688995215311,0.06698564593301436,0.47871346153846156,0.4179268292682926,0.28838846153846154,0.24665853658536585,0.6262866259482759,0.43464303,0.52225536,0.5095334,0.4521945
manifesto,1959-01-01,CON,0.9086021505376344,0.0,0.9946236559139785,0.026881720430107527,0.4824697674418605,0.0,0.4035095,0.3333333333333333,0.03225806451612903,0.04838709677419355,0.48427906976744184,0.40327027027027024,0.3168046511627907,0.25002702702702706,0.5169320752,0.51600516,0.49437147,0.48039702,0.45453867
manifesto,1959-01-01,LIB,0.8982511923688394,0.0047694753577106515,0.9864864864864865,0.023052464228934817,0.47343676470588236,0.10204081632653061,0.41252786,0.4489795918367347,0.0246422893481717,0.05961844197138315,0.47051676470588233,0.4102105263157894,0.24459294117647057,0.22225438596491232,0.4688230088509708,0.49699858,0.534537,0.5063132,0.46370304
